,Strain,Number,Attenuation,Flocculation,Alcohol_Tolerance,Fermentation_Temperature,STA1,Description
0,Que Bueno,L09,>73-77%</h,medium</,8%<,""">47-55 °F /",negative</h6,"Que Bueno creates refreshing light to dark lagers with very clean, low ester aromatic profiles and nice crisp and dry finishes. This strain is not just a great choice for Mexican lagers, but any lager where clean ester profile and dry finish is appropriate. This strain is not a part of our core availability line up, please call or email for lead time and specifics."
0,Rustic,B56,>72-76%</h,medium</,12%,""">68-80 °F /",positive</h6,"This unique yeast can be used in your saison, farmhouse ale, or other Belgian styles where high ester levels are important. Rustic typically produces a lot of bubblegum and fruity/juicy aromas that compliment complex maltiness. Balanced by a light clove phenol profile, Rustic produces lovely flavor profiles indicative of those classic Belgain styles known and loved. 
This strain tests positive for the STA1 gene via PCR analysis and is therefore considered to be Saccharomyces cerevisiae var. Diastaticus. 
This yeast strain is not a genetically modified organism (GMO).
• Special order strain orders available to schedule with a 10L minimum and a 2-3 week lead time •"
0,Sour Batch,F08,>80-95%</h,low</h6>,12%,""">68-76 °F /",positive</h6,"This blend is great for emulating lambics, Flanders reds, sour farmhouse ales and any other brew you would like to funk up. Keep your IBU's under 3 to allow the lacto to work. Considering the components of this blend, allow for a long conditioning period of at least 6 months to really let the brett strains to shine. 
This strain tests positive for the STA1 gene via PCR analysis and is therefore considered to be Saccharomyces cerevisiae var. Diastaticus. 
This yeast strain is not a genetically modified organism (GMO).
• Special order strain orders available to schedule with a 10L minimum and a 2-3 week lead time •"
0,Stefon,G01,>73-77%</h,low</h6>,10%,""">63-73 °F /",negative</h6,"This is a traditional German hefeweizen strain used to produce world-class Weizen beers. Balanced with mild clove and prominent banana esters, this strain will produce amazing beers. Stefon produces a slightly higher level of acidity to give your beer a super crisp finish. Slightly underpitching will help increase the banana character."
0,Suburban Brett,W15,>75-80%</h,low</h6>,12%,""">64-74 °F /",negative</h6,"Suburban Brett really shines when used in wood barrels and will produce complex and balanced aromas of sour cherry, dried fruit and balanced by a unique tropical fruit profile. It can be used for as a primary strain for brett only beers as well as a secondary aging strain. Maturation times tend to be on the quicker side for brett fermentations."
0,Tartan,A31,>70-75%</h,medium</,10%,""">65-70 °F /",negative</h6,"Tartan is a traditional strain that accentuates the malt character of Scottish and other malt forward styles. But don't put it in a corner, it can also be used for other styles and works well in IPAs due to its clean fermentation character. For a higher ester profile, use this ale yeast at the top end of the temperature range."
0,Triple Double,B48,>74-78%</h,medium</,12%,""">65-77 °F /",negative</h6,"The perfect strain for your classic abbey ales. Triple Double produces moderate esters with low to no phenolic characteristics. This strain is tried and true and works perfectly in a production environment. Keep an eye on Triple Double, it likes to sit on top of the wort throughout fermentation which may result in a slower than normal fermentation. This strain is very alcohol tolerant, so don't be afraid to throw high gravity worts its way."
0,Urkel,L28,>71-75%</h,medium</,10%,""">52-58 °F /",negative</h6,"Urkel allows for a nice balance between hops and malt. This strain can produce sulfur aromas during fermentation, but it cleans up during lagering. Fermentation at the higher end of the range will produce a beer with minimal sulfur and a light ester profile with that classic Czech edge you are looking for."
0,Voyager,A05,>68-72%</h,medium-h,10%,""">64-74 °F /",negative</h6,"Set phasers to yum and prepare to accelerate your brewing to warp speed. Voyager’s high flocculation characteristics and wide temperature range make it a highly versatile strain. Use Voyager at low temps for nutty flavors in malt forward beers or ramp it up to produce apricot and peach aromas for dry hopped pales and IPAs. The options are as expansive as the universe. This strain is not a part of our core availability line up, please call or email for lead time and specifics.
• Special order strain orders available to schedule with a 10L minimum and a 2-3 week lead time •"
0,Whiteout,B44,>72-76%</h,low-medi,10%,""">62-72 °F /",negative</h6,"Whiteout produces an excellent balance of spicy phenolic character and esters. Along with the necessary aromatics, this strain produces a significant amount of acidity which is perfect for wits and other light colored Belgian ales. Whiteout can be a strong top-cropper during early fermentation, then settle back down through the beer in the latter stages. This may lead to slower than normal fermentation."
0,Workhorse,B51,>72-77%</h,medium</,12%,""">65-75 °F /",negative</h6,"Workhorse is the strain to use for a wide variety of brews. Super clean, this fast-attenuating strain has good flocculation characteristics. High alcohol tolerance makes this a great option for big Belgian beers.
• Special order strain orders available to schedule with a 10L minimum and a 2-3 week lead time •"
