,Strain,Number,Attenuation,Flocculation,Alcohol_Tolerance,Fermentation_Temperature,STA1,Description
0," Brett Blend #1 Where Da Funk? 
",OYL-210,>78-88%</d,Very,""">11%",""">68–80° F (20–27° C)<",t-deta,"
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brett-blend-1-where-da-funk"">Blend #1 (OYL-210) </a>
    contains one Brett-famous brewery strain plus one Sacch strain for huge tropical fruit aroma with a wide temp range. Very dry, mild funk and low acid.
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brett-blend-2-bit-o-funk""> Blend #2 (OYL-211)</a>
     contains the Sacch strain from Blend #1 and is spiked with brux for development of moderate funk in secondary; may take 3+ months to emerge. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brett-blend-3-bring-on-da-funk"">Blend #3 (OYL-212)</a>
     contains the one Sacch strain from Blend #1 and is spiked with brux, lambicus, two Brett isolates from a Brett-famous brewery, and two Brett isolates from an 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    intense” Belgian source, for a funky, fruity, complex, 8‑strain composition.
  "
0,,e,,,,,,n
0," Belgian Ale A 
",OYL-024,>72-85%</d,High,""">12%",""">65–78° F (18–26° C)<",>No</d,"As one of the few highly flocculent Belgian ale strains, Belgian Ale A makes a great Belgian house strain: it crops easily and has a well-rounded flavor profile with balanced fruitiness and phenolics. Esters increase with upward temperatures."
0," Lacto 
",OYL-605,details--2,tail,ls--2,""">68–95° F (20–35° C)<",t-deta,"
    A 
    <em>Levilactobacillus brevis</em>
     and 
    <em>Lactiplantibacillus plantarum</em>
     (both formerly classified as 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    <em>Lactobacillus</em>
    ”) blend with a wide temperature range. The 
    <em>L. plantarum</em>
    , isolated in collaboration with Marz Community Brewing, sours efficiently at its higher end. Do not sour above 95°F (35°C) to prevent stalling. Max souring develops within 24 to 72 hrs. Extremely hop sensitive, however, even 2 IBUs can prevent souring.
  "
0," Extra Special DKO 
",OYL-432,>67-71%</d,Very,""">9% ",""">64–72° F (18–22° C)<",>No</d,"
    <strong>Extra Special was formerly British Ale VIII</strong>
  "
0," Star Party 
",OYL-404,>73-80%</d,Medi,""">11%",""">60–73° F (16–23° C)<",>No</d,"A Thiolized<sup>™</sup> version of the beloved Chico strain (<a href=""https://omegayeast.com/yeast/ales/west-coast-ale-i"">West Coast Ale I</a>), Star Party<sup>™</sup> is a thiol burst with aromas of passion fruit, dank pink guava, and citrus zest. Expect the same clean fermentation profile and clarity as its parental strain, Chico, but with a big burst of thiols that’s perfect for redefining classic styles, juicing up a West Coast IPA, or creating a unique style that highlights the thiol potential of regional hops and malt. Thiols to the moon! 🚀"
0," West Coast I DKO 
",OYL-430,>73-80%</d,Medi,""">11%",""">60–73° F (16–23° C)<",>No</d,"
    This 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    Chico” workhorse now expresses the ALDC enzyme, allowing you to highlight malts and hop combos without diacetyl stealing the show. Well attenuative and moderately flocculating, with crisp, light citrus notes when fermented under 66°F (19°C). US only.
  "
0,,e,,,,,,"We believe the best yeast is the freshest yeast. That’s why our Probrew pitches are always custom made-to-order, and delivered the date you need them. And Homebrewers can find a selection of our vigorously healthy yeast at a local homebrew shop near you."
0," Gulo Ale 
",OYL-501,>85-90%</d,Medi,""">12%",""">68–77° F (20–25° C)<",>Yes</,"Expect orange-marmalade and peach character with a clean, brut-like finish. Gulo<sup>®</sup> was born at Omega Yeast as the mated offspring of <a href=""https://omegayeast.com/yeast/ales/irish-ale"">Irish Ale (OYL-005)</a> and <a href=""https://omegayeast.com/yeast/belgian-ales/french-saison"">French Saison (OYL-026)</a> and was chosen for exhibiting the best of the Irish strain’s flavor while capturing the powerful attenuation of the French. Non-phenolic, aromatic and a beast at devouring wort sugars, think suitability for IPA (including Brut IPA), stout or Bière de Garde."
0," Jovaru Lithuanian Farmhouse 
",OYL-033,>80-85%</d,Medi,""">10%",""">70–95° F (21–35° C)<",>Yes</,"The famed Jovaru<sup>®</sup> Brewery’s historic strain, Jovaru comes from the queen of Lithuanian farmhouse beer herself. With citrusy esters and restrained phenols, expect lemon pith and black pepper character, and a soft mouthfeel. This unique yeast complements farmhouse beers and makes a great Wit. I sveikata!"
0,,e,,,,,,n
0," Mexican Lager 
",OYL-113,>70-78%</d,Medi,""">9% ",""">50–55° F (10–13° C)<",>No</d,"This great lager strain is thought to originate from a well known Mexican brewery. Simply put, it is clean, crisp, bright and versatile."
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0," British V DKO 
",OYL-431,>71-75%</d,High,""">10%",""">64–74° F (18–23° C)<",>No</d,"The ALDC-expressing gold standard for hazies. Reliably hazy with juiciness that boosts hop character with some residual sweetness. The hallmark of any modern, hazy IPA. US only."
0,,e,,,,,,n
0," DIPA DKO 
",OYL-436,>72-80%</d,Medi,""">11%",""">65–72° F (18–22° C)<",>No</d,"
    A strong fermenter popularly referred to as 
    <span class=""push-double""/>
    ​
    <span class=""pull-double"">“</span>
    Conan.” Its peach, apricot, and pineapple notes are a natural boost for hops, complementing modern tropical profiles in particular. Our reliable DIPA yeast but without the worry of diacetyl spikes during hop creep. US only.
  "
0," British Ale V 
",OYL-011,>71-75%</d,High,""">10%",""">64–74° F (18–23° C)<",>No</d,British Ale V is undeniably a gold standard for brewing NEIPAs. Along with it’s huge fruity boost to juicy hop character comes a stable haze and residual sweetness that is a signature of this strain and a hallmark of a hazy IPA.
0,,e,,,,,,n
0," Northwest Farmhouse Brett 
",OYL-216,>85+%</div,Low<,""">10%",""">70–85° F (21–29° C)<",t-deta,"Enjoy the lighter side of funkiness with this B. bruxellensis variant that hails from a Northwest U.S. brewery. It’s known for its wonderful white wine character and light funk, and develops its character rather quickly. Brett character will be apparent within a few weeks of reaching terminal gravity and will continue to develop if given additional conditioning time."
0," London Ale 
",OYL-003,>67-77%</d,Medi,""">11%",""">66–72° F (19–22° C)<",>No</d,"
    The London Ale strain is a high attenuator that has obvious English character in its pronounced minerality and mild fruit notes. It performs best for dry, crisp beers, and in highlighting hop bitterness. For more neutral strains, try 
    <a href=""https://omegayeast.com/yeast/ales/west-coast-ale-i"">West Coast Ale I (OYL-004)</a>
    , or keep the English deportment with
    <a href=""https://omegayeast.com/yeast/ales/british-ale-i""> British Ale I (OYL-006)</a>
     or 
    <a href=""https://omegayeast.com/yeast/ales/british-ale-vi"">British Ale VI (OYL-013)</a>
    .
  "
0,CSM,,,,,,,A go to if you are experiencing hyperattenuation and/or overcarbonation in packaged product and suspect a diastatic yeast contamination. Our optimized LCSM recipe provides the greatest sensitivity to a wide range of STA1+ yeast strains. ASBC Methods: Microbiological Controls 2 and 5. Turnaround time is 3 days.
0," Brett. Lambicus 
",OYL-203,>85%+</div,Low<,""">10%",""">70–85° F (21–29° C)<",t-deta,"
    Bretts offer a crucial complexity for wild Belgian and American styles, creating distinct flavors Sacch cannot. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brettanomyces-claussenii"">Brett Claussenii (OYL-201)</a>
     offers the mildest funk, presenting leather and some pineapple. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brettanomyces-bruxellensis"">Brett Brux (OYL-202)</a>
     contributes medium intensity with classic barnyard earthiness. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brettanomyces-lambicus"">Brett Lambicus (OYL-203)</a>
     dives in deep with horsey, spicy, cherry pie funk. All three strains do their best work as secondary yeasts.
  "
0,,e,,,,,,n
0,,e,,,,,,n
0," Lager I 
",OYL-100,>71-75%</d,Medi,""">9% ",""">48–56° F (9–13° C)</",>No</d,"Early inspiration for light American lager and thought to be from Budejovice, this crisp, balanced strain is lightly malty and finishes with very slight fruit notes. It is the backbone of the classic Czech Pilsner profile where the yeast character should neither dominate nor disappear among the beer’s subtle balance of malts and hops."
0,,e,,,,,,n
0," Pacific NW Ale 
",OYL-012,>67-71%</d,High,""">10%",""">65–75° F (18–24° C)<",>No</d,"A strain from the Pacific NW, originally from the UK, the Pacific NW Ale strain presents a relatively neutral profile with notes of malt and light fruit that add depth of flavor. It is a healthy flocculator."
0," German Bock 
",OYL-111,>70-76%</d,Medi,""">10%",""">48–55° F (9–13° C)</",>No</d,"Thought to be from the famous brewery in Aying, Bavaria, this is a versatile lager strain that balances malt and hop flavors well. It is superb for bocks, doppelbocks, Oktoberfest lagers, helles and a favorite for American pilsners, too."
0," American Lager 
",OYL-103,>73-77%</d,Medi,""">9% ",""">48–58° F (9–14° C)</",>No</d,"
    This strain is thought to be from one of the US’s oldest family-owned breweries in Minnesota. More flocculent and complex in flavor than many of its lager peers, including 
    <a href=""https://omegayeast.com/yeast/lagers/american-pilsner"">American Pilsner (OYL-102)</a>
    .
  "
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0," Grand Cru 
",OYL-023,>72-76%</d,Low<,""">12%",""">63–76° F (17–24° C)<",>No</d,"Made for wits or any other Belgian ale — even sweet mead or cider — this strain’s clove phenolics, esters and tart and dry ending were historically enhanced by orange peel and coriander. The well-known Belgian wheat beer was brought back from extinction in its historic home of Hoegaarden by Pierre Celis, from which this strain is thought to come."
0,,e,,,,,,n
0," Voss Kveik 
",OYL-061,>75-82%</d,Medi,""">12%",""">68–95° F (20–35° C)<",>No</d,"
    A Norwegian kveik directly from the Gjernes farmstead, Voss Kveik’s orange-citrus notes present throughout its wide temperature range. So, like the mango-honey profile of 
    <a href=""https://omegayeast.com/yeast/kveiks/hothead-ale"">
      Hothead
      <sup>®</sup>
       (OYL-057)
    </a>
    , Voss Kveik’s orange-citrus is relatively clean across the whole range, and pairs well with citrusy, fruity hops. Ester intensity and fermentation speed take off at higher temperatures in this strain. Non-phenolic and no noticeable fusels, even at higher temperatures.
  "
0," Point Loma 
",OYL-043,>76-83%</d,Medi,""">11%",""">65–68° F (18–20° C)<",>No</d,"
    <strong>Point Loma was formerly West Coast Ale III</strong>
  "
0," Hothead Kveik! 
",OYL-057,>75-82%</d,Medi,""">11%",""">68–95° F (20–35° C)<",>No</d,"
    A highly flocculent Norwegian ale strain (kveik), Hothead
    <sup>®</sup>
     has an astoundingly wide temperature range and little change in flavor across the range. Clean enough for both American and English styles, it has a unique honey-like aroma with overripe mango. Complementary to modern, fruity hops. Temperature control is unnecessary with this strain. Non-phenolic and no noticeable fusels, even at higher temperatures.
  "
0,,e,,,,,,n
0,,e,,,,,,n
0," Brett. Bruxellensis 
",OYL-202,>85%+</div,Low<,""">10%",""">70–85° F (21–29° C)<",t-deta,"
    Bretts offer a crucial complexity for wild Belgian and American styles, creating distinct flavors Sacch cannot. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brettanomyces-claussenii"">Brett Claussenii (OYL-201)</a>
     offers the mildest funk, presenting leather and some pineapple. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brettanomyces-bruxellensis"">Brett Brux (OYL-202)</a>
     contributes medium intensity with classic barnyard earthiness. 
    <a href=""https://omegayeast.com/yeast/bretts-blends-bacteria/brettanomyces-lambicus"">Brett Lambicus (OYL-203)</a>
     dives in deep with horsey, spicy, cherry pie funk. All three strains do their best work as secondary yeasts.
  "
0,,e,,,,,,n
0," Pilsner I 
",OYL-101,>72-76%</d,Medi,""">9% ",""">48–56° F (9–13° C)</",>No</d,"Thought to be the H strain of the famous Plzen brewer, this lager strain has a dry and neutral taste profile and is gently malty with a lightly perceptible floral aroma. The first of the famous Czech strains inspiring America’s most famous light, brilliantly clear, golden lagers. Commonly produces sulfur during fermentation that clears during lagering. Watch out for diacetyl."
0,,e,,,,,,n
0,,e,,,,,,n
0," British Ale VI 
",OYL-013,>73-76%</d,High,""">10%",""">63–75° F (17–24° C)<",>No</d,"British Ale VI sports a classic British character — reserved but witty, with a rather high tolerance for alcohol. Crisp, clean, malty and with a mostly dry finish. A good flocculator."
0," West Coast Ale I 
",OYL-004,>73-80%</d,Medi,""">11%",""">60–73° F (16–23° C)<",>No</d,"
    <span class=""pull-double"">“</span>
    Chico” is a reliable, versatile and popular neutral foundation for displays of malts and hops. Highly attenuative and moderately flocculating, it ferments crisp and clean with light citrus notes under 66°F (19°C). Also try 
    <a href=""https://omegayeast.com/yeast/ales/dipa-ale"">DIPA (OYL-052)</a>
     or 
    <a href=""https://omegayeast.com/yeast/ales/british-ale-i"">British I (OYL-006)</a>
     to highlight hops more, or 
    <a href=""https://omegayeast.com/yeast/ales/west-coast-ale-ii"">West Coast Ale II (OYL-009)</a>
     and 
    <a href=""https://omegayeast.com/yeast/ales/scottish-ale"">Scottish Ale (OYL-015)</a>
     for malt displays.
  "
0,,e,,,,,,n
0,,e,,,,,,n
0," Bavarian Wheat I 
",OYL-025,>72-78%</d,Low<,""">10%",""">66–72° F (19–22° C)<",>Yes</,"
    A spicier alternative to 
    <a href=""https://omegayeast.com/yeast/ales/hefeweizen-ale-i"">Hefeweizen Ale I (OYL-021)</a>
     for the production of German wheat beers, OYL-025 Bavarian Wheat I imparts a more phenolic profile with predominant notes of clove and pepper. More bubblegum, less pear and banana as OYL-021.
  "
0," Irish Ale 
",OYL-005,>69-75%</d,Medi,""">12%",""">62–72° F (17–22° C)<",>No</d,"Ireland’s storied stout is thought to be balanced by this dry, crisp, lightly fruity, versatile and powerful strain. A good fermenter with reliable, average flocculation (some diacetyl possible), and a hint of fruit at the lowest recommended temperatures, which increases in complexity at higher temperatures (64°F+). Successful in dark and high gravity beers. Sláinte!"
0," British Ale VII 
",OYL-014,>67-71%</d,High,""">9% ",""">64–72° F (18–22° C)<",>No</d,"A well behaved, reasonably productive flocculator that leaves a clear bodied beer. This strain produces very clean, well balanced ales that are both significantly malty and have esters reminiscent of stone fruit with dry, nutty tones at the back end. Think compatibility with cask ales, for example."
0,,e,,,,,,n
0," Belgian Golden Strong 
",OYL-056,>90-95%</d,Low<,""">14%",""">68–76° F (20–24° C)<",>Yes</,"Perfect for high-gravity Belgian ales with a dry finish, its relatively mellow phenolic character is balanced by light banana and pear esters. High levels of glycerol production give it a round mouthfeel even at a very low finishing gravity. Consistently reaches greater than 90% apparent attenuation without sluggishness or stalling. "
0," Belgian Wheat 
",OYL-029,>72-76%</d,Medi,""">12%",""">64–74° F (18–23° C)<",>No</d,"
    Featuring apple, bubblegum, plum, and a lightly tart and dry finish, the Belgian Wheat strain supports malt and hop flavors well and adds more complexity to a wheat beer than other comparable strain choices, like 
    <a href=""https://omegayeast.com/yeast/ales/hefeweizen-ale-i"">Hefeweizen Ale I (OYL-021)</a>
     or 
    <a href=""https://omegayeast.com/yeast/ales/hefeweizen-ale-ii"">Hefeweizen Ale II (OYL-022)</a>
    .
  "
0,alories,,,,,,,"Maybe you don’t want to know the calories in your milkshake IPA, but some retailers might. We can help determine calories using real extract and alcohol measurements. ASBC Method: Beer-33"
0,H and Titratable Acidity,,,,,,,"Regular pH testing can ensure consistency of the brewing process and is a great way to monitor fermentation performance. Titrateable acidity (TA) is used to quantify the number of organic acids in a product, for beer this is assumed to be lactic acid. pH Acidity is TTB Certified, ASBC Methods: Beer‑8 and Beer‑9."
0,,e,,,,,,n
0,,e,,,,,,n
0," Scottish Ale 
",OYL-015,>73-76%</d,High,""">10%",""">63–75° F (17–24° C)<",>No</d,"The Scottish Ale strain is a flocculent, versatile and reliable house strain that produces neutral to complex and malty profiles in its fairly wide temperature range. Hop character is not muted by this strain. More esters emerge at higher fermentation temperatures."
0,,e,,,,,,n
0,,e,,,,,,n
0,,e,,,,,,n
0," German Lager I 
",OYL-106,>73-77%</d,Medi,""">9% ",""">45–68° F (7–20° C)</",>No</d,"Versatile, crisp, malty profile, light esters and a wide fermentation range. This is thought to be the world’s most used lager strain and can produce a convincing lager at ale temperatures. Fermenting in the low temperature range (45 – 55° F), it maintains a more crisp profile. Temperatures higher in range (65 – 68° F) bring out slightly heightened esters. Rest for diacetyl."
0,,e,,,,,,n
0,olyphenol,,,,,,,"Polyphenols in beer can lead to undesired chill haze and astringency. Determines total polyphenols (TP, mg/L) in beer using a spectrophotometer. ASBC Method: Beer-35"
0," Belgian Saison II 
",OYL-042,>74-79%</d,Medi,""">12%",""">70–84° F (21–29° C)<",>Yes</,"Thought to originate from a small, sophisticated, Belgian brewer’s spelt saison. It is earthy, spicy, peppery, tart and dry, with tropical fruit and citrus at warm fermentation temperatures. A perfect strain for farmhouse ales and saisons. It favors pitching in the low 70s (21°C), and free-rising from there."
0,,e,,,,,,n
0," Alt 
",OYL-001,>73-77%</d,Low<,""">11%",""">55–68° F (13–20° C)<",>No</d,"
    An enthusiastic top cropper from Düsseldorf. This strain ferments at low temperatures with a clean, low ester profile. Light fruit emerges at the higher temperatures. Features quick maturation. Yeast stays in suspension. Little to no diacetyl. Try also 
    <a href=""https://omegayeast.com/yeast/ales/kolsch-ii"">Kolsch II (OYL-044)</a>
     or even 
    <a href=""https://omegayeast.com/yeast/ales/west-coast-ale-i"">West Coast Ale I (OYL-004)</a>
    .
  "
0," West Coast Ale II 
",OYL-009,>72-76%</d,Medi,""">10%",""">60–72° F (16–22° C)<",>No</d,"
    West Coast Ale II is a consistent, well flocculating, well attenuating and easy clearing neutral strain. Slightly fruitier than 
    <a href=""https://omegayeast.com/yeast/ales/west-coast-ale-i"">West Coast Ale I (OYL-004)</a>
     and clean with a lightly perceptible nuttiness, its subtle citrus character finishes slightly tart at the cool end, and more fruit character emerges as fermentation temperatures increase.
  "
0,,e,,,,,,n
0," East Coast Ale 
",OYL-032,>70-75%</d,Medi,""">10%",""">68–73° F (20–23° C)<",>No</d,"
    Thought to be the famous Bostonian strain. It is suitable for a broad range of beer styles with an American spin. Using 
    <a href=""https://omegayeast.com/yeast/ales/west-coast-ale-i"">West Coast Ale I (OYL-004)</a>
     for comparison, it is a little tart and slightly muting of hop bitterness. Slightly less flocculent and attenuative, too, but every bit as versatile, carrying an overall clean and neutral flavor character.
  "
